CAS	換算先	分子式からの値	リストの値	差
71724-93-1	V	34.204	34.900	0.696
20837-86-9	Pb	83.132	83.810	0.678
15375-84-5	Mn	14.875	14.200	0.675
10378-28-6	Mn	14.875	14.200	0.675
19893-32-4	Mn	30.372	29.710	0.662
17308-52-0	Mn	30.372	29.710	0.662
73637-20-4	Mn	13.553	14.200	0.647
15593-52-9	Se	49.710	50.340	0.630
28837-97-0	Zn	43.779	44.400	0.621
94233-08-6	Co	15.998	15.380	0.618
38233-75-9	Co	40.209	40.800	0.591
1160353-52-5	Pb	79.521	80.100	0.579
13009-77-3	Pb	79.521	80.100	0.579
11120-55-1	Pb	79.521	80.100	0.579
1145660-51-0	Pb	79.521	80.100	0.579
37316-84-0	Pb	79.521	80.100	0.579
37185-13-0	Pb	79.521	80.100	0.579
37361-76-5	Pb	79.521	80.100	0.579
886883-98-3	Pb	79.521	80.100	0.579
14307-35-8	Cr	40.575	40.000	0.575
7446-27-7	Pb	76.029	76.600	0.571
7782-66-3	Hg	75.433	76.000	0.567
544-18-3	Co	39.033	39.600	0.567
40105-04-2	Mn	38.534	39.100	0.566
10102-18-8	Se	45.136	45.700	0.564
3349-06-2	Ni	38.936	39.500	0.564
13423-61-5	Cr	36.536	37.100	0.564
219828-32-7	Cr	36.536	37.100	0.564
14986-91-5	Se	46.649	47.210	0.561
7783-16-6	Mn	27.621	27.070	0.551
814-89-1	Co	39.561	40.100	0.539
598-63-0	Pb	76.962	77.500	0.538
91481-93-5	V	23.775	24.300	0.525
14720-53-7	Pb	70.277	70.800	0.523
1429516-97-1	Pb	70.277	70.800	0.523
24719-19-5	Co	38.378	38.900	0.522
1333-25-1	As	37.079	37.600	0.521
7778-44-1	As	37.079	37.600	0.521
7790-71-8	Se	44.647	45.160	0.513
139939-71-2	Zn	40.000	40.500	0.500
131315-46-3	Zn	40.000	40.500	0.500
7733-02-0	Zn	40.000	40.500	0.500
873788-00-2	Zn	40.000	40.500	0.500
