83704-21-6	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
24224-99-5	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
2395-00-8	"Present ([PC035])" As Perfluorooctanoic acid salts [RR-64340-3]
70879-63-9	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
14816-18-3	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
58802-51-0	"Present ([PC029])" As Polychlorinated dibenzodioxins [136677-09-3]
43047-99-0	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
100134-82-5	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
UN1614	"Present ([PC036])" As Hydrocyanic acid [74-90-8]
40581-93-9	"Present ([PC029])" As Polychlorinated dibenzodioxins [136677-09-3]
70648-22-5	"Present ([PC029])" As Polychlorinated dibenzofurans [136677-10-6]
50599-78-5	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
629-60-7	"Present (including Hydrocyanic acid, all simple Cyanides (mostly Alkali metal and Alkaline earth metal cyanides) and Zinc cyanide complex, excluding Ferricyanide, Ferrocyanide, Copper-cyanide, Nickel-cyanide, and Cobalt-cyanide complexes, [PC036])" As Cyanides [RR-00812-8]
29095-38-3	"Present ([PC037])" As Thallium compounds [RR-00575-4]
15064-65-0	"Present ([PC037])" As Thallium [7440-28-0];
