016-084-00-7	94125-34-5
016-085-00-2	104040-78-0
016-086-00-8	109125-56-6
016-087-00-3	104558-95-4
016-088-00-9	71297-11-5
016-089-00-4	RR-11238-9
016-090-00-X	14653-91-9
016-091-00-5	359630-27-6
016-092-00-0	RR-17256-5
016-093-00-6	140698-96-0
016-094-00-1	7704-34-9
016-095-00-7	RR-16561-7
016-096-00-2	79277-27-3
016-097-00-8	32047-53-3
016-098-00-3	624-92-0
017-001-00-7	7782-50-5
017-002-00-2	7647-01-0
017-002-01-X	RR-07028-0
017-003-00-8	13477-00-4
017-004-00-3	3811-04-9
017-005-00-9	7775-09-9
017-006-00-4	7601-90-3
017-007-00-X	13465-95-7
017-008-00-5	7778-74-7
017-009-00-0	7790-98-9
017-010-00-6	7601-89-0
017-011-00-1	7681-52-9
017-012-00-7	7778-54-3
017-013-00-2	10043-52-4
017-014-00-8	12125-02-9
017-015-00-3	61807-67-8
017-016-00-9	1031-15-8
017-017-00-4	120086-58-0
017-018-00-X	220609-41-6
017-019-00-5	54417-53-7
017-020-00-0	13014-29-4
017-021-00-6	136920-10-0
017-023-00-7	197179-61-6
017-026-00-3	10049-04-4
017-026-01-0	RR-07074-6
019-001-00-2	7440-09-7
019-002-00-8	1310-58-3
019-003-00-3	24634-61-5
020-001-00-X	7440-70-2
020-002-00-5	592-01-8
020-003-00-0	RR-16714-6
022-001-00-5	7550-45-0
022-002-00-0	31363-92-5
022-003-00-6	125051-32-3
022-004-00-1	12056-51-8
022-005-00-7	169104-71-6
023-001-00-8	1314-62-1
024-001-00-0	1333-82-0
024-002-00-6	7778-50-9
024-003-00-1	7789-09-5
024-004-00-7	10588-01-9
024-005-00-2	14977-61-8
024-006-00-8	7789-00-6
024-007-00-3	11103-86-9
024-007-00-3	RR-02096-2
024-008-00-9	13765-19-0
024-009-00-4	7789-06-2
024-010-00-X	24613-89-6
024-011-00-5	109125-51-1
024-012-00-0	148262-86-6
024-013-00-6	104105-46-6
024-014-00-1	93952-24-0
024-015-00-7	118556-91-5
024-016-00-2	88377-66-6
024-017-00-8	RR-00026-0
024-018-00-3	7775-11-3
024-019-00-9	RR-16628-9
024-020-00-4	178452-72-7
024-021-00-X	RR-17173-3
