271-89-6	Benzofuran
2784-94-3	Ethanol, 2,2'-[[4-(methylamino)-3-nitrophenyl]imino]bis-
28407-37-6	C.I. Direct Blue 218
28434-86-8	3,3'-Dichloro-4,4'-diaminodiphenyl ether
2973-10-6	Diisopropyl sulfate
302-70-5	Nitrogen mustard N-oxide hydrochloride
303-34-4	Lasiocarpine
303-47-9	Ochratoxin A
30516-87-1	3'-Azido-3'-deoxythymidine
3068-88-0	.beta.-Butyrolactone
308076-74-6	Silicon carbide fibers
315-22-0	Monocrotaline
319-84-6	Hexachlorocyclohexane, .alpha.-isomer
319-86-8	Hexachlorocyclohexane, .delta.-isomer
3248-91-7	Trimethyl fuchsin
