541-25-3	Schedule 1: Chemicals which can be used as chemical weapons (listed under Lewisites)
555-77-1	Schedule 1: Chemicals which can be used as chemical weapons (listed under Nitrogen mustards)
57856-11-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (H or C<=10, including cycloalkyl) O-2-dialkyl (methyl, ethyl, n-propyl or isopropyl)-aminoethyl alkyl, (methyl, ethyl, n-propyl or isopropyl) phosphonites and corresponding alkylated or protonated salts)
63869-13-6	Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)
63905-10-2	Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)
63918-89-8	Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)
63918-90-1	Schedule 1: Chemicals which can be used as chemical weapons (listed under Sulfur mustards)
2387496-14-0	Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (H or <=C10, including cycloalkyl) N-(1-(dialkyl(<=C10, including cycloalkyl)amino))alkylidene(H or <=C10, including cycloalkyl) phosphoramidofluoridates and corresponding alkylated or protonated salts)
RR-03643-1	Schedule 1: Chemicals which can be used as chemical weapons
RR-03644-2	Schedule 1: Chemicals which can be used as chemical weapons
RR-03645-3	Schedule 1: Chemicals which can be used as chemical weapons
RR-03646-4	Schedule 1: Chemicals which can be used as chemical weapons
77-81-6	Schedule 1: Chemicals which can be used as chemical weapons (listed under O-Alkyl (C<=10 including cycloalkyl) N,N-dialkyl (methyl, ethyl, n-propyl or isopropyl) phosphoramidocyanidates)
868-85-9	Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons
9009-86-3	Schedule 1: Chemicals which can be used as chemical weapons
RR-03639-5	Schedule 1: Chemicals which can be used as chemical weapons
RR-03640-8	Schedule 1: Chemicals which can be used as chemical weapons
RR-03641-9	Schedule 1: Chemicals which can be used as chemical weapons
RR-03642-0	Schedule 1: Chemicals which can be used as chemical weapons
78-53-5	Schedule 2: Chemicals which can be used in the precursors of manufacturing chemical weapons
460091-27-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
39461-36-4	"Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons" As Sulfur dichloride [10545-99-0]
959027-88-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
RR-106277-7	"Schedule 1: Chemicals which can be used as chemical weapons (quaternaries and bisquaternaries of dimethylcarbamoyloxypyridines)" As Carbamates [RR-04077-7]
113548-85-9	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
352-52-3	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
959088-15-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
959088-13-2	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
952104-39-1	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
211192-72-2	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
113548-86-0	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
576-68-1	"Schedule 1: Chemicals which can be used as chemical weapons" As Nitrogen mustards [RR-03644-2]
959276-46-1	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
18358-37-7	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
1306-02-1	"Schedule 1: Chemicals which can be used as chemical weapons" As Lewisites [RR-03643-1]
352-63-6	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
333416-65-2	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
763-14-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
36549-54-9	"Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons" As Triethanolamine [102-71-6]
60030-72-0	"Schedule 1: Chemicals which can be used as chemical weapons" As Nitrogen mustards [RR-03644-2]
1005240-09-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
952104-35-7	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
959004-37-6	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
345260-81-3	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
333416-25-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
345260-85-7	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
468712-08-5	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
22956-47-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
55803-44-6	"Schedule 1: Chemicals which can be used as chemical weapons" As Saxitoxin [35523-89-8]
333416-39-0	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
UN1589	"Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons" As Cyanogen chloride [506-77-4]
959004-34-3	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
333416-74-3	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
345260-73-3	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
6154-51-4	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
333416-73-2	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
162085-82-7	"Schedule 1: Chemicals which can be used as chemical weapons" As O-Alkyl (<=C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonofluoridates [RR-03639-5]
494-03-1	"Schedule 1: Chemicals which can be used as chemical weapons" As Nitrogen mustards [RR-03644-2]
UN1809	"Schedule 3: Chemicals which can be used as main materials of manufacturing chemical weapons" As Phosphorus trichloride [7719-12-2]
